id,name,nivel,adscripcion,perfil,descriptor,areas,lineas,menciones,enfasis,cupos_sem,cupos_tit
34,"Reyes León, Daniel",Prof. Adjunto,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/28329,"Prácticas creativas transdiciplinares, donde los procesos de investigación y creación se vinculen con temas de tecnología, desarrollo, innovación y ecología, desde aspectos simbólicos y culturales. Vinculación entre arte y diseño.",7 8,2 3 5,2,3,0,0
35,"Rossi Rossi, Bruno",Instructor Adjunto,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/51590,"Diseño para realidad virtual y mixta, sistema de visualización para simulaciones, medios digitales interactivos.",5 7,2,2,1,0,0
36,"Silva Roquefort, Rebeca",Prof. Asistente,- Instituto de la Vivienda,https://uchile.cl/portafolio-academico/academico/43537,"Investigación del entorno, desde ergonomía y factores humanos hasta el derecho a la ciudad y al territorio. ",,1,2,2 3,0,0
37,"Soto Calquín, Leonardo ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/35210,"Sistema de símbolos, signos, imagen corporativa, narrativa visual, iconografía mapuche, representación gráfica, expresión gráfica, transdisciplina arte-diseño, patrimonio en diseño, cultura visual.",7 8,3 4 5,0 2,2 3,0,0
38,"Stange Marcus, Hans",Prof. Asistente,- Escuela de Pregrado,https://uchile.cl/portafolio-academico/academico/58037,"Teoría crítica, epistemología de la comunicación y del diseño, cultura audiovisual, esp. cine chileno y crítica de cine; teoría e historia del diseño, crítica de arte, teorías de la comunicación, estética.",4 5 7,4 5,0 2,2 3,0,0
39,"Tapia Reyes, Mauricio ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/34140,"Estudio constante de tecnologías, técnicas y oficios en el desarrollo de productos, customización y co-creación. Creación, Innovación y desarrollo Tecnológico.",5,1 2 4,1,1 2,0,0
40,"Vera Manríquez, Rodrigo",Prof. Asociado,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/56222,"Historia y teoría del diseño, cultura visual y cultura material. Significación, semiologia y semántica del diseño. Muralismo, street art y relaciones del diseño con el arte y la arquitectura.",6 7 8,3 4 5,0 2,2 3,2,0
41,"Vico Sánchez, Mauricio ",Prof. Asociado,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/17874,"Investigación en estética del diseño, historia del diseño, estudios culturales.",7,2 4 5,2,2 3,3,1
42,"Vielma Laguna, Mitzi",En jerarquización,- Escuela de Pregrado,Sin perfil en el portafolio académico,"Estudio de las emociones, elaboración de didácticas para la creatividad, desarrollo de prototipos de servicios y gamificación como instrumento para la conceptualización. Aplicaciones biométricas para estudios de percepción. Desarrollo de estudios cualitativos de innovación y transferencia con la industria.",5,1,1,2 3,5,0
43,"Wechsler Pizarro, Andrea",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/29097,"Desarrollo de materiales biobasados desde residuos para el diseño, desde una perspectiva de ciclo de vida y economía circular.",5,2,0 1,1 2,0,0
44,"Young Araya, Mariana ",,Docente invitada,Sin perfil en el portafolio académico,Creación autoral y diseño editorial.,5 7 8,2 3 6,0 2,3,0,0
45,"Zorzano Betancourt, Osvaldo ",Prof. Asistente,- Departamento de Diseño,https://uchile.cl/portafolio-academico/academico/33113,"Dos lineas disciplinares: La primera dice relación con el desarrollo de proyectos orientados a vinculación con el medio, con énfasis en productos relacionados con producción gráfica. Y por otro lado están los proyectos orientados a diseño de vehículos y electromovilidad.",5,2 5,0 1 2,1 3,0,0
